,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,busselton,100,AU,1604280448,86,-33.65,115.33,62.01,5.91
1,shwebo,52,MM,1604280971,87,22.57,95.7,78.26,5.28
2,barrow,75,US,1604280657,68,71.29,-156.79,28.4,18.34
3,qaanaaq,0,GL,1604280449,74,77.48,-69.36,2.79,6.44
4,thompson,75,CA,1604280467,100,55.74,-97.86,21.2,3.36
5,buala,42,SB,1604280720,64,-8.14,159.59,87.46,2.98
6,viedma,0,AR,1604280725,52,-40.81,-63.0,64.0,16.62
7,chokurdakh,100,RU,1604280466,93,70.63,147.92,-0.53,11.34
8,camacha,20,PT,1604280714,88,33.08,-16.33,66.2,3.69
9,portland,1,US,1604280452,41,45.52,-122.68,61.0,8.05
10,khatanga,100,RU,1604280661,95,71.97,102.5,6.55,6.82
11,ushuaia,75,AR,1604280448,54,-54.8,-68.3,57.2,3.36
12,souillac,20,MU,1604280973,100,-20.52,57.52,64.4,4.7
13,mataura,75,NZ,1604280669,65,-46.19,168.86,55.0,13.0
14,rikitea,93,PF,1604280452,85,-23.12,-134.97,74.16,23.53
15,ribeira grande,75,ES,1604280974,93,42.75,-8.44,66.0,13.87
16,banda aceh,0,IN,1604280974,26,25.48,80.33,68.58,5.12
17,provideniya,0,RU,1604280682,63,64.38,-173.3,26.6,4.47
18,alamosa,1,US,1604280930,65,37.47,-105.87,41.0,3.36
19,albany,97,US,1604280610,95,42.6,-73.97,39.99,8.46
20,udachnyy,90,RU,1604280975,84,66.42,112.4,6.8,8.95
21,lebu,74,CL,1604280662,95,-37.62,-73.65,52.77,8.37
22,rio grande,6,GR,1604280976,92,38.3,21.78,46.0,1.48
23,bengkulu,99,ID,1604280522,83,-3.8,102.27,78.91,3.13
24,bluff,53,NZ,1604280664,65,-46.6,168.33,55.0,13.0
25,mackenzie,90,CA,1604280976,70,55.3,-123.17,42.8,10.29
26,ballina,40,AU,1604280695,64,-28.87,153.57,78.8,24.16
27,dikson,90,RU,1604280671,98,73.51,80.55,18.0,8.41
28,jasper,1,US,1604280977,52,37.2,-94.35,42.01,5.82
29,honningsvag,100,NO,1604280977,83,70.98,25.97,45.82,31.54
30,vaini,75,TO,1604280688,83,-21.2,-175.2,78.8,10.29
31,saint-georges,75,GD,1604280704,94,12.06,-61.75,77.0,17.22
32,tuktoyaktuk,90,CA,1604280448,85,69.45,-133.04,14.0,12.75
33,iquique,90,CL,1604280588,77,-20.22,-70.14,62.6,9.17
