,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,nyurba,11,RU,1604279755,90,63.28,118.33,1.98,9.89
1,majene,100,ID,1604279755,70,-3.54,118.97,83.84,7.38
2,new norfolk,12,LR,1604279628,97,6.65,-10.59,74.08,2.59
3,saint-joseph,90,RE,1604279755,56,-21.37,55.62,69.8,5.82
4,hermanus,80,ZA,1604279592,81,-34.42,19.23,64.0,10.0
5,arraial do cabo,0,BR,1604279756,67,-22.84,-46.65,60.8,16.11
6,rikitea,93,PF,1604279756,85,-23.12,-134.97,74.16,23.53
7,bredasdorp,100,ZA,1604279606,82,-34.53,20.04,64.4,10.29
8,gawler,46,AU,1604279589,28,-34.6,138.73,84.0,7.0
9,mataura,83,NZ,1604279521,67,-46.19,168.86,55.0,13.0
10,anadyr,75,RU,1604279757,85,64.75,177.48,15.8,4.47
11,ushuaia,75,AR,1604279480,51,-54.8,-68.3,59.0,12.75
12,hilo,1,US,1604279758,55,19.73,-155.09,86.0,10.29
13,cayenne,98,GF,1604279758,100,4.93,-52.33,78.8,2.24
14,sola,75,VU,1604279758,89,-13.88,167.55,87.8,8.05
15,wuwei,0,CN,1604279759,57,37.93,102.64,41.4,0.69
16,kruisfontein,30,ZA,1604279759,82,-34.0,24.73,64.0,1.01
17,barrow,75,US,1604279578,68,71.29,-156.79,28.4,18.34
18,atuona,85,PF,1604279603,77,-9.8,-139.03,77.68,13.87
19,borba,100,BR,1604279760,96,-4.39,-59.59,75.15,2.68
20,juneau,90,US,1604279686,94,58.3,-134.42,32.0,8.05
21,cherskiy,100,RU,1604279761,93,68.75,161.3,2.64,5.7
22,kahului,40,US,1604279761,55,20.89,-156.47,87.8,11.41
23,grand river south east,1,US,1604279761,21,38.88,-109.5,62.6,5.82
24,gat,100,IL,1604279701,94,31.61,34.76,72.0,2.33
25,hobart,0,AU,1604279661,56,-42.88,147.33,73.99,9.17
26,torbay,20,CA,1604279615,74,47.67,-52.73,37.0,14.99
27,vanavara,100,RU,1604279762,96,60.34,102.28,18.39,10.07
28,mahajanga,20,MG,1604279763,73,-15.72,46.32,75.2,5.82
29,deyang,22,CN,1604279763,69,31.13,104.38,64.99,1.41
30,coquimbo,90,CL,1604279763,87,-29.95,-71.34,55.4,4.7
31,whitianga,100,NZ,1604279764,55,-36.83,175.7,70.21,9.31
32,punta arenas,98,PH,1604279764,63,8.99,125.34,85.28,0.45
33,hithadhoo,100,MV,1604279765,73,-0.6,73.08,83.46,7.96
34,castro,16,BR,1604279496,95,-24.79,-50.01,49.87,7.4
35,kango,100,GA,1604279765,96,0.19,10.1,73.44,0.65
36,pevek,100,RU,1604279766,94,69.7,170.31,14.47,8.79
37,santa cruz,100,PH,1604279766,71,17.49,120.43,84.52,3.02
38,camacha,20,PT,1604279766,88,33.08,-16.33,66.2,3.24
39,caravelas,100,BR,1604279653,84,-17.71,-39.25,71.78,10.54
40,hambantota,90,LK,1604279767,100,6.12,81.12,78.8,1.12
41,imbituba,20,BR,1604279720,82,-28.24,-48.67,64.4,6.93
42,bluff,53,NZ,1604279767,70,-46.6,168.33,55.0,13.0
43,butaritari,76,KI,1604279767,76,3.07,172.79,82.2,9.57
44,bambous virieux,20,MU,1604279768,100,-20.26,57.41,66.99,4.7
45,izumo,75,JP,1604279768,100,35.37,132.77,59.0,8.05
46,faanui,0,PF,1604279768,79,-16.48,-151.75,80.42,20.67
47,suhbaatar,0,MN,1604279769,80,50.23,106.21,18.19,1.92
48,kaitangata,95,NZ,1604279769,68,-46.28,169.85,55.0,11.01
49,puerto ayora,0,ES,1604279769,93,36.59,-6.23,57.2,2.24
50,saskylakh,90,RU,1604279769,88,71.92,114.08,-9.2,10.69
51,cape town,0,CL,1604279770,77,-36.41,-71.9,59.0,5.82
52,praia da vitoria,20,CV,1604279623,78,14.92,-23.51,77.0,6.93
53,margate,100,GB,1604279770,86,51.38,1.39,63.0,11.01
54,lompoc,1,US,1604279771,56,34.64,-120.46,73.4,9.17
55,taksimo,0,RU,1604279771,80,56.34,114.88,6.33,2.13
56,kavieng,7,PG,1604279771,63,-2.57,150.8,87.03,3.44
57,touros,40,BR,1604279771,78,-5.2,-35.46,80.6,10.29
58,lorengau,22,PG,1604279627,64,-2.02,147.27,87.31,5.28
59,vieques,20,PR,1604279772,78,18.43,-65.83,80.6,8.05
60,buribay,100,RU,1604279772,85,51.96,58.16,37.65,11.79
61,aksu,0,CN,1604279773,74,41.12,80.26,34.97,0.83
62,batalha,83,BR,1604279773,76,-9.68,-37.12,77.32,9.13
63,carnarvon,75,AU,1604279773,56,-24.87,113.63,71.6,16.11
64,nanortalik,0,GL,1604279653,88,60.14,-45.24,31.73,41.45
65,monteagudo,2,BO,1604279774,47,-19.82,-63.98,61.16,3.11
66,kaya,0,BF,1604279774,21,13.09,-1.08,78.94,6.91
67,olinda,75,BR,1604279631,78,-8.01,-34.86,80.6,8.05
68,gaoua,26,BF,1604279775,48,10.3,-3.25,76.44,4.03
69,qaanaaq,0,GL,1604279583,74,77.48,-69.36,2.79,6.44
70,datong,0,CN,1604279775,65,40.09,113.29,34.66,12.86
71,nikolskoye,90,RU,1604279775,100,59.7,30.79,35.6,4.47
72,mayumba,100,GA,1604279730,90,-3.43,10.66,76.78,3.09
73,busselton,100,AU,1604279776,87,-33.65,115.33,61.0,5.91
74,vaini,75,TO,1604279776,83,-21.2,-175.2,78.8,10.29
75,pili,100,PH,1604279776,83,13.58,123.3,81.05,5.77
76,tiksi,0,RU,1604279777,90,71.69,128.87,-4.95,7.02
77,tuktoyaktuk,90,CA,1604279777,92,69.45,-133.04,12.2,10.29
78,mongoumba,100,CF,1604279778,91,3.64,18.59,70.95,1.45
79,kodiak,20,US,1604279519,33,57.79,-152.41,30.2,13.87
80,pierre,1,US,1604279778,39,44.37,-100.35,46.0,10.29
81,port alfred,98,CD,1604279512,63,-7.03,29.76,73.76,1.41
82,albany,95,US,1604279779,96,42.6,-73.97,41.0,9.4
83,ouahigouya,0,BF,1604279779,16,13.58,-2.42,80.65,9.26
84,turayf,40,SA,1604279780,87,31.67,38.66,60.8,9.17
85,tambopata,21,PE,1604279780,50,-12.73,-69.18,75.7,2.04
86,moranbah,0,AU,1604279780,35,-22.0,148.05,88.25,15.57
87,synya,100,RU,1604279780,97,65.37,58.04,25.48,6.11
88,nalut,0,LY,1604279781,71,30.33,10.85,58.37,9.35
89,upernavik,97,GL,1604279782,92,72.79,-56.15,16.54,3.24
90,auki,4,SB,1604279782,71,-8.77,160.7,86.23,1.99
91,segou,0,ML,1604279783,19,13.43,-6.22,77.05,4.7
92,mahebourg,20,MU,1604279783,100,-20.41,57.7,64.4,4.7
93,saint-philippe,90,RE,1604279783,56,-21.36,55.77,69.8,5.82
94,ratnagiri,10,IN,1604279784,73,16.98,73.3,76.5,4.43
95,gopalpur,99,IN,1604279784,79,19.27,84.92,76.93,7.49
96,chokurdakh,100,RU,1604279784,93,70.63,147.92,-0.53,11.34
97,east london,90,IS,1604279785,59,65.0,-15.0,37.4,10.29
98,dingle,47,PH,1604279785,80,11.0,122.67,82.78,11.88
99,khatanga,100,RU,1604279520,95,71.97,102.5,5.68,6.51
100,tuatapere,13,NZ,1604279604,67,-46.13,167.68,55.0,13.0
101,meulaboh,100,ID,1604279786,88,4.14,96.13,77.34,3.98
102,kolondieba,0,ML,1604279786,39,11.09,-6.89,75.34,2.73
103,tabas,0,IR,1604279787,24,33.6,56.92,55.4,2.24
104,richards bay,1,US,1604279787,68,46.84,-95.91,30.2,9.17
105,pokhara,0,NP,1604279763,39,28.23,83.98,66.06,4.88
106,guhagar,48,IN,1604279788,73,17.48,73.19,76.03,3.51
107,celestun,30,MX,1604279788,80,20.87,-90.4,76.08,16.78
108,teguldet,100,RU,1604279788,96,57.31,88.17,34.57,11.27
109,viedma,0,AR,1604279789,51,-40.81,-63.0,64.99,18.68
110,georgetown,40,MY,1604279789,94,5.41,100.34,78.8,3.36
111,katsuura,75,JP,1604279608,100,35.13,140.3,62.6,3.36
112,laurel,40,US,1604279760,57,39.1,-76.85,52.0,6.93
113,svetlyy,75,RU,1604279790,87,54.67,20.13,44.6,8.95
114,lodwar,78,KE,1604279791,49,3.12,35.6,81.77,14.85
115,avarua,84,CK,1604279791,83,-21.21,-159.78,78.8,18.34
116,airai,100,TL,1604279791,43,-8.93,125.41,76.75,4.47
117,acarau,13,BR,1604279791,83,-2.89,-40.12,78.98,11.74
118,caninde,0,BR,1604279792,73,-4.36,-39.31,77.85,3.02
119,nantucket,75,US,1604279792,91,41.28,-70.1,57.0,12.75
120,provideniya,0,RU,1604279793,63,64.38,-173.3,26.6,2.24
121,meligalas,0,GR,1604279793,93,37.22,21.97,62.01,2.06
122,samarai,42,PG,1604279793,75,-10.62,150.67,83.5,9.08
123,ponta do sol,98,PT,1604279794,80,38.73,-28.27,59.61,15.28
124,muisne,92,EC,1604279794,85,0.6,-80.03,75.51,8.66
125,yellowknife,90,CA,1604279706,85,62.46,-114.35,14.0,14.99
126,dukat,100,RU,1604279794,96,62.55,155.55,15.62,5.1
127,kavaratti,0,IN,1604279795,71,10.57,72.64,80.96,2.33
128,chuy,0,UY,1604279795,83,-33.7,-53.46,53.35,5.55
129,kapaa,75,US,1604279586,83,22.08,-159.32,79.0,16.11
130,mtambile,7,TZ,1604279795,80,-5.38,39.7,76.68,5.84
131,belmonte,75,BR,1604279796,88,-15.86,-38.88,68.0,6.93
132,port-gentil,99,GA,1604279796,87,-0.72,8.78,78.26,10.67
133,machico,75,PT,1604279797,88,32.7,-16.77,68.0,4.7
134,karaton,40,ID,1604279797,83,-6.34,106.1,81.0,11.41
