,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,busselton,100,AU,1604186482,79,-33.65,115.33,59.0,1.97
1,gamba,89,GA,1604186482,90,-2.65,10.0,76.77,5.35
2,kavieng,2,PG,1604186482,72,-2.57,150.8,85.19,10.22
3,cozumel,75,MX,1604186483,88,20.51,-86.95,79.0,11.41
4,ushuaia,90,AR,1604186483,87,-54.8,-68.3,50.0,6.93
5,san patricio,0,ML,1604186483,17,13.3,-4.9,81.64,6.22
6,sinop,52,TR,1604186483,73,41.77,34.87,48.33,4.14
7,huntsville,1,US,1604186005,55,34.73,-86.59,66.2,8.05
8,leh,11,IN,1604186484,74,34.17,77.58,27.7,1.01
9,bengkulu,100,ID,1604186235,87,-3.8,102.27,75.38,4.0
10,nikolskoye,21,RU,1604186482,89,59.7,30.79,37.0,2.24
11,tuktoyaktuk,75,CA,1604186484,84,69.45,-133.04,-2.2,4.7
12,wembley,90,AU,1604186476,93,-31.93,115.8,61.0,5.82
13,nanortalik,56,GL,1604186485,89,60.14,-45.24,28.65,20.04
14,isangel,91,VU,1604186485,71,-19.55,169.27,79.84,13.96
15,chokurdakh,89,RU,1604186477,91,70.63,147.92,-8.99,7.99
16,port alfred,33,CD,1604186486,57,-7.03,29.76,73.99,3.74
17,doka,11,SD,1604186486,49,13.52,35.77,78.03,4.25
18,barrow,90,US,1604186477,73,71.29,-156.79,24.8,12.75
19,qaanaaq,59,GL,1604186487,83,77.48,-69.36,6.85,6.2
20,butaritari,99,KI,1604186468,75,3.07,172.79,81.63,15.26
21,beringovskiy,99,RU,1604186487,95,63.05,179.32,19.81,11.7
22,matagami,75,CA,1604186487,63,49.75,-77.63,30.2,14.99
23,mecca,0,SA,1604186487,59,21.43,39.83,76.46,0.58
24,kamenka,100,RU,1604186488,88,51.32,42.77,49.01,10.2
25,cedar city,75,US,1604186356,34,41.21,-92.53,66.2,13.87
26,kapaa,90,US,1604186488,65,22.08,-159.32,82.99,13.87
27,auki,86,SB,1604186488,64,-8.77,160.7,87.44,1.95
28,hermanus,0,ZA,1604186488,83,-34.42,19.23,57.0,5.99
29,kodiak,1,US,1604186489,40,57.79,-152.41,37.4,14.99
30,dali,68,CN,1604186489,87,25.7,100.18,57.76,3.87
31,thompson,75,CA,1604186489,67,55.74,-97.86,19.4,9.17
32,mataura,40,NZ,1604186490,76,-46.19,168.86,55.0,15.99
33,yellowknife,90,CA,1604186490,92,62.46,-114.35,21.2,10.29
34,albany,0,US,1604186490,83,42.6,-73.97,36.0,5.41
35,mandalgovi,0,MN,1604186490,84,45.76,106.27,19.69,8.28
36,fukue,7,JP,1604186491,59,32.69,128.84,68.5,6.38
37,mangrol,0,IN,1604186491,42,21.12,70.12,78.1,6.13
38,prince rupert,1,CA,1604186491,74,52.97,-108.38,28.4,4.7
39,rikitea,0,PF,1604186491,67,-23.12,-134.97,75.83,5.86
40,ancud,0,CL,1604186305,52,-41.87,-73.82,64.4,6.93
41,danielskuil,67,ZA,1604186492,80,-28.19,23.54,60.53,15.66
42,punta arenas,100,PH,1604186492,78,8.99,125.34,78.51,4.56
43,san cristobal,0,ML,1604186483,17,13.3,-4.9,81.64,6.22
44,broome,1,US,1604186492,69,42.25,-75.83,35.01,5.82
45,castro,84,BR,1604186493,85,-24.79,-50.01,55.47,8.5
46,hilo,40,US,1604186307,58,19.73,-155.09,87.8,11.41
47,san pedro,0,ML,1604186493,17,13.3,-4.9,81.64,6.22
